target,OverallQual,GrLivArea,Neighborhood,x1stFlrSF,TotalBsmtSF,BsmtFinSF1,LotArea,GarageCars,MSSubClass,GarageArea,YearRemodAdd,YearBuilt
11.83500896413934,5.0,816.0,Mitchel,816.0,816.0,816.0,6600.0,2.0,_20,816.0,2003.0,1982.0
12.820987977820543,8.0,2028.0,Timber,2028.0,1868.0,1460.0,11443.0,3.0,_20,880.0,2006.0,2005.0
12.100712129872347,7.0,1509.0,Gilbert,807.0,783.0,0.0,7875.0,2.0,_60,393.0,2003.0,2003.0
12.24288661865289,6.0,1686.0,NWAmes,1686.0,1686.0,625.0,10240.0,2.0,_20,612.0,1980.0,1980.0
11.898187865760873,5.0,1120.0,Mitchel,1120.0,1120.0,206.0,8402.0,0.0,_20,0.0,2007.0,2007.0
11.59910316121128,5.0,1057.0,NAmes,1057.0,1057.0,731.0,7922.0,1.0,_20,246.0,2007.0,1953.0
12.061046873479915,6.0,1291.0,ClearCr,1291.0,1291.0,1003.0,2887.0,2.0,_120,431.0,1997.0,1996.0
11.969717200243734,5.0,1188.0,Mitchel,1188.0,1188.0,593.0,26142.0,1.0,_20,312.0,1962.0,1962.0
12.154779351142624,5.0,1582.0,ClearCr,1582.0,1624.0,812.0,36500.0,2.0,_20,390.0,1964.0,1964.0
12.066810578196666,7.0,1682.0,NWAmes,1682.0,1304.0,0.0,10400.0,2.0,_20,530.0,1970.0,1970.0
12.3570755190667,8.0,1489.0,Somerst,1489.0,1489.0,0.0,11216.0,2.0,_20,776.0,2006.0,2006.0
10.542706391070515,3.0,968.0,OldTown,600.0,600.0,0.0,5925.0,0.0,_50,0.0,1950.0,1910.0
11.728036844587177,5.0,1750.0,OldTown,1089.0,636.0,0.0,9000.0,1.0,_70,240.0,1991.0,1880.0
11.786762130599955,5.0,1039.0,Sawyer,1039.0,1039.0,841.0,11625.0,2.0,_190,504.0,1965.0,1965.0
11.951180395901384,5.0,1128.0,NAmes,1128.0,1120.0,776.0,8700.0,2.0,_20,525.0,1963.0,1963.0
11.803353763090035,5.0,1040.0,NAmes,1040.0,1040.0,369.0,7560.0,1.0,_20,286.0,1959.0,1959.0
11.842229212112828,6.0,1196.0,NAmes,1196.0,1196.0,616.0,9000.0,1.0,_20,297.0,1956.0,1956.0
12.01974306733868,5.0,1385.0,NAmes,910.0,910.0,507.0,8520.0,2.0,_50,720.0,1952.0,1952.0
12.004568269319446,5.0,964.0,Crawfor,964.0,876.0,713.0,13360.0,2.0,_30,432.0,2006.0,1921.0
11.99535161421452,5.0,1287.0,NAmes,1287.0,1063.0,72.0,9830.0,2.0,_20,576.0,2006.0,1959.0
11.73526869611367,5.0,1869.0,OldTown,1188.0,1088.0,1088.0,8820.0,2.0,_50,456.0,1996.0,1890.0
12.154779351142624,6.0,1888.0,NAmes,1888.0,1517.0,247.0,16492.0,2.0,_20,578.0,2002.0,1966.0
11.982929094215963,6.0,1251.0,NAmes,1251.0,1251.0,553.0,8800.0,1.0,_20,461.0,1964.0,1964.0
12.16597955196373,5.0,1838.0,Gilbert,734.0,732.0,0.0,21930.0,2.0,_60,372.0,2005.0,2005.0
12.716402146247477,9.0,2599.0,NoRidge,1422.0,1393.0,0.0,14774.0,3.0,_60,779.0,1999.0,1999.0
11.938193200374572,5.0,1306.0,NAmes,1306.0,992.0,860.0,8712.0,1.0,_20,756.0,2000.0,1957.0
12.323855681186558,7.0,1733.0,Gilbert,847.0,847.0,0.0,12394.0,2.0,_60,433.0,2003.0,2003.0
11.296012463406656,4.0,912.0,BrkSide,672.0,0.0,0.0,6240.0,0.0,_50,0.0,1950.0,1947.0
12.560244459250788,8.0,2872.0,NoRidge,2129.0,1683.0,700.0,10678.0,2.0,_50,541.0,2000.0,1992.0
11.77528972943772,7.0,1709.0,Edwards,970.0,970.0,0.0,2522.0,2.0,_160,380.0,2004.0,2004.0
12.0271851854705,7.0,1248.0,Blmngtn,1248.0,1248.0,16.0,3010.0,2.0,_120,438.0,2006.0,2005.0
12.206072645530174,6.0,1700.0,CollgCr,1700.0,1682.0,340.0,9135.0,2.0,_20,544.0,2003.0,2003.0
11.56171562913966,6.0,1258.0,Edwards,698.0,560.0,204.0,9060.0,1.0,_50,280.0,1950.0,1939.0
12.165250651009918,7.0,1431.0,CollgCr,1431.0,1431.0,560.0,9017.0,2.0,_20,666.0,1999.0,1999.0
11.84939770159144,5.0,936.0,OldTown,936.0,936.0,936.0,7200.0,2.0,_90,672.0,1980.0,1980.0
12.013700752882718,6.0,1350.0,NWAmes,1350.0,1064.0,0.0,10140.0,2.0,_20,478.0,1974.0,1974.0
12.141534124392605,6.0,1498.0,Gilbert,691.0,691.0,592.0,13031.0,2.0,_60,409.0,1996.0,1995.0
11.686878772093667,5.0,1367.0,Edwards,961.0,861.0,241.0,8405.0,1.0,_50,384.0,1950.0,1900.0
12.093687514935382,7.0,1414.0,Blmngtn,1414.0,1375.0,0.0,3072.0,2.0,_120,398.0,2004.0,2004.0
12.09458226949681,6.0,1484.0,Gilbert,783.0,783.0,0.0,10237.0,2.0,_60,393.0,2007.0,2005.0
12.14950229404178,8.0,1228.0,StoneBr,1228.0,1228.0,767.0,4671.0,2.0,_120,472.0,1989.0,1988.0
10.868568448579715,4.0,693.0,OldTown,693.0,693.0,0.0,4118.0,0.0,_30,0.0,1950.0,1941.0
11.686878772093667,5.0,1728.0,NAmes,1728.0,1728.0,40.0,10624.0,1.0,_90,352.0,1964.0,1964.0
11.626254150277232,6.0,1310.0,OldTown,865.0,617.0,617.0,7000.0,1.0,_50,398.0,1950.0,1924.0
11.379394072345706,3.0,1040.0,NAmes,1040.0,0.0,0.0,8544.0,2.0,_90,400.0,1950.0,1949.0
12.46997418931655,7.0,1720.0,NoRidge,1720.0,1720.0,919.0,10593.0,2.0,_20,527.0,1996.0,1996.0
12.190959007720126,7.0,3082.0,SWISU,1687.0,824.0,523.0,15863.0,2.0,_75,672.0,1970.0,1920.0
12.450977688625896,8.0,1717.0,NridgHt,1717.0,1709.0,0.0,11146.0,3.0,_20,908.0,2006.0,2006.0
12.127570417375216,7.0,1200.0,SawyerW,1200.0,1176.0,833.0,10083.0,2.0,_20,555.0,2003.0,2003.0
11.695247021764184,5.0,912.0,NAmes,912.0,912.0,111.0,7535.0,1.0,_20,297.0,1985.0,1958.0
