,class,parameter,data_type,default_value,url
0,sklearn.compose.TransformedTargetRegressor,regressor,object,None,https://scikit-learn.org/stable/modules/generated/sklearn.compose.TransformedTargetRegressor.html
1,sklearn.compose.TransformedTargetRegressor,transformer,object,None,https://scikit-learn.org/stable/modules/generated/sklearn.compose.TransformedTargetRegressor.html
2,sklearn.compose.TransformedTargetRegressor,func,function,None,https://scikit-learn.org/stable/modules/generated/sklearn.compose.TransformedTargetRegressor.html
3,sklearn.compose.TransformedTargetRegressor,inverse_func,function,None,https://scikit-learn.org/stable/modules/generated/sklearn.compose.TransformedTargetRegressor.html
4,sklearn.compose.TransformedTargetRegressor,check_inverse,bool,True,https://scikit-learn.org/stable/modules/generated/sklearn.compose.TransformedTargetRegressor.html
0,sklearn.covariance.GraphicalLassoCV,alphas,integer,4,https://scikit-learn.org/stable/modules/generated/sklearn.covariance.GraphicalLassoCV.html
1,sklearn.covariance.GraphicalLassoCV,n_refinements,strictly positive integer,4,https://scikit-learn.org/stable/modules/generated/sklearn.covariance.GraphicalLassoCV.html
2,sklearn.covariance.GraphicalLassoCV,cv,int,’warn’,https://scikit-learn.org/stable/modules/generated/sklearn.covariance.GraphicalLassoCV.html
3,sklearn.covariance.GraphicalLassoCV,tol,positive float,0.0001,https://scikit-learn.org/stable/modules/generated/sklearn.covariance.GraphicalLassoCV.html
4,sklearn.covariance.GraphicalLassoCV,enet_tol,positive float,0.0001,https://scikit-learn.org/stable/modules/generated/sklearn.covariance.GraphicalLassoCV.html
5,sklearn.covariance.GraphicalLassoCV,max_iter,integer,100,https://scikit-learn.org/stable/modules/generated/sklearn.covariance.GraphicalLassoCV.html
6,sklearn.covariance.GraphicalLassoCV,mode,"{‘cd’, ‘lars’}",’cd’,https://scikit-learn.org/stable/modules/generated/sklearn.covariance.GraphicalLassoCV.html
7,sklearn.covariance.GraphicalLassoCV,n_jobs,int or None,None,https://scikit-learn.org/stable/modules/generated/sklearn.covariance.GraphicalLassoCV.html
8,sklearn.covariance.GraphicalLassoCV,verbose,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.covariance.GraphicalLassoCV.html
9,sklearn.covariance.GraphicalLassoCV,assume_centered,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.covariance.GraphicalLassoCV.html
0,sklearn.dummy.DummyRegressor,strategy,str,’mean’,https://scikit-learn.org/stable/modules/generated/sklearn.dummy.DummyRegressor.html
1,sklearn.dummy.DummyRegressor,constant,int or float or array of shape = [n_outputs],None,https://scikit-learn.org/stable/modules/generated/sklearn.dummy.DummyRegressor.html
2,sklearn.dummy.DummyRegressor,quantile,float in [0.0,None,https://scikit-learn.org/stable/modules/generated/sklearn.dummy.DummyRegressor.html
0,sklearn.ensemble.AdaBoostRegressor,base_estimator,object,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.AdaBoostRegressor.html
1,sklearn.ensemble.AdaBoostRegressor,n_estimators,integer,50,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.AdaBoostRegressor.html
2,sklearn.ensemble.AdaBoostRegressor,learning_rate,float,1.0,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.AdaBoostRegressor.html
3,sklearn.ensemble.AdaBoostRegressor,loss,"{‘linear’, ‘square’, ‘exponential’}",’linear’,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.AdaBoostRegressor.html
4,sklearn.ensemble.AdaBoostRegressor,random_state,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.AdaBoostRegressor.html
0,sklearn.ensemble.BaggingRegressor,base_estimator,object or None,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.BaggingRegressor.html
1,sklearn.ensemble.BaggingRegressor,n_estimators,int,10,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.BaggingRegressor.html
2,sklearn.ensemble.BaggingRegressor,max_samples,int or float,1.0,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.BaggingRegressor.html
3,sklearn.ensemble.BaggingRegressor,max_features,int or float,1.0,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.BaggingRegressor.html
4,sklearn.ensemble.BaggingRegressor,bootstrap,boolean,True,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.BaggingRegressor.html
5,sklearn.ensemble.BaggingRegressor,bootstrap_features,boolean,False,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.BaggingRegressor.html
6,sklearn.ensemble.BaggingRegressor,oob_score,bool,False,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.BaggingRegressor.html
7,sklearn.ensemble.BaggingRegressor,warm_start,bool,False,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.BaggingRegressor.html
8,sklearn.ensemble.BaggingRegressor,n_jobs,int or None,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.BaggingRegressor.html
9,sklearn.ensemble.BaggingRegressor,random_state,int,None,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.BaggingRegressor.html
10,sklearn.ensemble.BaggingRegressor,verbose,int,0,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.BaggingRegressor.html
0,3.2.4.3.6. sklearn.ensemble.GradientBoostingRegressor,loss,"{‘ls’, ‘lad’, ‘huber’, ‘quantile’}",’ls’,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html
1,3.2.4.3.6. sklearn.ensemble.GradientBoostingRegressor,learning_rate,float,0.1,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html
2,3.2.4.3.6. sklearn.ensemble.GradientBoostingRegressor,n_estimators,int (default=100),100,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html
3,3.2.4.3.6. sklearn.ensemble.GradientBoostingRegressor,subsample,float,1.0,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html
4,3.2.4.3.6. sklearn.ensemble.GradientBoostingRegressor,criterion,string,’friedman_mse’,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html
5,3.2.4.3.6. sklearn.ensemble.GradientBoostingRegressor,min_samples_split,int,2,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html
6,3.2.4.3.6. sklearn.ensemble.GradientBoostingRegressor,min_samples_leaf,int,1,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html
7,3.2.4.3.6. sklearn.ensemble.GradientBoostingRegressor,min_weight_fraction_leaf,float,0.0,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html
